Partition_File,MultiLayerPerceptron,AdaBoost,KNN,RandomForest,NaiveBayes,LDA,Maximum
2CLUSTER_0.csv,0.54611,0.64292,0.55106,0.61876,0.72149,0.66601,0.72149
2CLUSTER_1.csv,0.60506,0.62718,0.57797,0.628,0.66072,0.66307,0.66307
2CLUSTER_10.csv,0.53738,0.5822,0.52918,0.59131,0.59823,0.5886,0.59823
2CLUSTER_11.csv,0.5323,0.56765,0.53409,0.59541,0.59812,0.59004,0.59812
2CLUSTER_12.csv,0.54388,0.57832,0.54289,0.60507,0.59833,0.59519,0.60507
2CLUSTER_13.csv,0.54597,0.57082,0.5446,0.60381,0.59563,0.5916,0.60381
2CLUSTER_14.csv,0.54541,0.57369,0.54087,0.59595,0.59157,0.58784,0.59595
2CLUSTER_15.csv,0.53969,0.57916,0.54152,0.60317,0.59318,0.59743,0.60317
2CLUSTER_16.csv,0.54307,0.58128,0.54084,0.60572,0.59419,0.60443,0.60572
2CLUSTER_17.csv,0.54619,0.58467,0.54575,0.61389,0.59659,0.60603,0.61389
2CLUSTER_18.csv,0.54912,0.59733,0.556,0.62324,0.61123,0.61674,0.62324
2CLUSTER_19.csv,0.55554,0.60588,0.55942,0.63664,0.62281,0.6256,0.63664
2CLUSTER_2.csv,0.57162,0.59711,0.56609,0.59399,0.61155,0.62838,0.62838
2CLUSTER_20.csv,0.56526,0.61427,0.55944,0.64134,0.62528,0.63187,0.64134
2CLUSTER_21.csv,0.57181,0.62372,0.56242,0.65013,0.63124,0.63871,0.65013
2CLUSTER_22.csv,0.56202,0.6263,0.56053,0.64755,0.62833,0.63973,0.64755
2CLUSTER_23.csv,0.57343,0.62951,0.56331,0.64998,0.62822,0.64271,0.64998
2CLUSTER_24.csv,0.58312,0.63158,0.57232,0.65002,0.62814,0.64492,0.65002
2CLUSTER_25.csv,0.57401,0.6288,0.57238,0.65262,0.62461,0.64266,0.65262
2CLUSTER_26.csv,0.57533,0.63758,0.57311,0.64658,0.62236,0.64158,0.64658
2CLUSTER_27.csv,0.57482,0.64733,0.5767,0.65296,0.6225,0.63975,0.65296
2CLUSTER_28.csv,0.57146,0.631,0.56893,0.65115,0.62217,0.6443,0.65115
2CLUSTER_29.csv,0.56928,0.63954,0.57379,0.64737,0.61799,0.63961,0.64737
2CLUSTER_3.csv,0.54381,0.58549,0.56453,0.59214,0.61061,0.63034,0.63034
2CLUSTER_30.csv,0.5656,0.62738,0.57205,0.65244,0.61402,0.63575,0.65244
2CLUSTER_31.csv,0.56897,0.62599,0.57125,0.64869,0.61294,0.64088,0.64869
2CLUSTER_32.csv,0.56306,0.62121,0.56877,0.64393,0.61035,0.63891,0.64393
2CLUSTER_33.csv,0.56718,0.61513,0.55831,0.64314,0.60817,0.63792,0.64314
2CLUSTER_34.csv,0.56865,0.62182,0.55604,0.64552,0.61204,0.6404,0.64552
2CLUSTER_35.csv,0.56966,0.62017,0.55866,0.64619,0.61042,0.64373,0.64619
2CLUSTER_36.csv,0.57311,0.61132,0.55376,0.64007,0.60707,0.64479,0.64479
2CLUSTER_37.csv,0.57809,0.62084,0.54996,0.64674,0.60674,0.64956,0.64956
2CLUSTER_38.csv,0.57896,0.62129,0.55462,0.64457,0.60914,0.65089,0.65089
2CLUSTER_39.csv,0.57646,0.6209,0.55152,0.64646,0.60897,0.64698,0.64698
2CLUSTER_4.csv,0.54765,0.62547,0.56596,0.60491,0.60935,0.62371,0.62547
2CLUSTER_40.csv,0.57983,0.62545,0.55478,0.64584,0.61101,0.65189,0.65189
2CLUSTER_41.csv,0.58161,0.62956,0.54636,0.64195,0.61691,0.65506,0.65506
2CLUSTER_42.csv,0.57613,0.63654,0.55204,0.64879,0.62906,0.66382,0.66382
2CLUSTER_43.csv,0.58564,0.63649,0.55737,0.64898,0.63079,0.67039,0.67039
2CLUSTER_44.csv,0.60588,0.66994,0.56748,0.65799,0.6464,0.68301,0.68301
2CLUSTER_45.csv,0.60924,0.63832,0.56668,0.64392,0.64629,0.6848,0.6848
2CLUSTER_46.csv,0.6144,0.6158,0.56159,0.63859,0.65477,0.6903,0.6903
2CLUSTER_47.csv,0.61314,0.66532,0.56345,0.65417,0.68398,0.70278,0.70278
2CLUSTER_48.csv,0.61004,0.63256,0.55868,0.63743,0.6813,0.68773,0.68773
2CLUSTER_49.csv,0.65296,0.61565,0.55759,0.63335,0.71277,0.66207,0.71277
2CLUSTER_5.csv,0.53057,0.59123,0.54544,0.57225,0.58947,0.58714,0.59123
2CLUSTER_6.csv,0.5279,0.57768,0.52884,0.56193,0.58463,0.57773,0.58463
2CLUSTER_7.csv,0.53506,0.57244,0.53183,0.56379,0.58384,0.57052,0.58384
2CLUSTER_8.csv,0.53173,0.5826,0.52409,0.57835,0.59003,0.57455,0.59003
2CLUSTER_9.csv,0.5409,0.59011,0.53603,0.58418,0.60367,0.5903,0.60367
